Topic,Text,Link
Homepage,"Shouchun Ma, Ph.D.
LanLi Ma, Lic. Acupuncturist
Janet Liu
Welcome to Ma’s Acupuncture! We have been providing healing-oriented care for over 25 years in Seattle and Bellevue, WA. We focus on pain relief from neuropathy and other issues, allergy relief, skin conditions, reducing stress and signs of aging, improving digestion, improving fertility, women’s health, immune system, energy enhancement, reducing nausea and fatigue associated with chemotherapy, improving chronic health issues, and overall wellness.
One of our acupuncture clinics is located in Green Lake, for easy access from U-District, Ballard, Fremont, and other North Seattle neighborhoods.  The other clinic is located in Bellevue on 140th Ave, for easy access from Mercer Island, Kirkland, Redmond, Sammamish, and Renton neighborhoods.
We are here to restore harmony and return the body to health, while helping our clients live a quality life.

“Tranquil and emptiness brings about true energy flow. A grounded mind keeps diseases away.”
–from “questions of fundamental nature / The Inner Classic of the Yellow Emperor” 

About Acupuncture
Acupuncture is a form of Traditional Chinese Medicine (TCM). Trained professionals use disposable thin metal needles to stimulate specific points on the body. The fundamental principles of acupuncture are to treat the person as an integrated whole in body, mind, and spirit, and to remedy the root causes of illness and disease, not only the symptoms. Acupuncture has been used for thousand years in the treatment of disease and injury. It is also as well as for preventive care.
Acupuncture has been endorsed by the World Health Organization (WHO) of the United Nations and the National Institutes of Health. These bodies have declared acupuncture an effective treatment for the following conditions, such as pain conditions, chemotherapy nausea, digestive problems, headaches, infections, cold, flu, and menstrual and female disorders.

About Chinese Herbal Medicine
Chinese herbal medicine is capable of treating a wide range of conditions. An herbal formula is considered to be more than the sum of each of the individual herbs, the combination and synergy of herbs used together is the key to effective treatment.
Herbal medicine, and traditional Chinese medicine as a whole, places great emphasis on the health of mind, body and spirit. Integral to this system is the belief that health is more than just the absence of illness, but that the best medicine also addresses disease prevention and the maintenance of vitality, thereby increasing the potential for well-being and happiness.",https://acupuncturema.com/
Locations and hours ,"(NEW!) Bellevue office
1540 140th Ave NE #100
Bellevue, WA 98005
(425) 502-9256

Greenlake office
1115 N 81st Street
Seattle, WA 98103
Please call for office hours
(206) 527-0033

Greenlake Clinic Hours
Tue: 9am - 4pm
Wed: 9am - 4pm
Sat: 9am - 4pm (appt only)
",https://acupuncturema.com/
About us,"About Us
tradition and creativity

Shouchun Ma
Shouchun Ma, Ph.D., Lic. Acupuncturist
马寿椿医师，针灸中医博士
Dr. Shouchun Ma has been actively practicing and teaching acupuncture and herbal medicine for over 40 years in the U.S., Europe and China.
In 1980, he was one of six who was admitted into China’s prestigious “Chengdu University of Traditional Chinese Medicine (TCM)” in Sichuan province, which has a population of 100 million. He obtained his Master’s Degree in TCM in 1982, and begun practicing and lecturing over many continents. In 2006, he earned the Ph.D. Degree in TCM from the renowned “China Academy of Chinese Medical Sciences” in Beijing School of Postgraduates.
Dr. Ma is recognized as an outstanding practitioner and scholar, and have been invited to many medical conferences as keynote lecturer in the U.S. and in Germany where he taught European physicians. In addition, Dr. Ma has written many articles in both local and national TCM publications, and has earned numerous distinctions including:
Professional Director of the Acupuncture Department at Chongqing First Hospital
Visiting scholar and clinical supervisor at the Northwest Institute of Acupuncture and Oriental Medicine (NIAOM) in Seattle (1988-1999)
Named Acupuncturist of the Year in 1996 by the Acupuncture Association of Washington. Faculty member in the first TCM doctoral program in the U.S. at the Oregon College of Oriental Medicine.
One of the first seventeen Diplomats of Chinese Herbology recognized by the National Certification Commission for Acupuncture and Oriental Medicine (1993)
Advisory Counsel of the 4th American Traditional Chinese Medicine Congress

LanLi Ma, Ph.D., Lic. Acupuncturist
李蘭医师，针灸中医博士
LanLi is National Board Certified in Acupuncture by the National Certification Commission for Acupuncture and Oriental Medicine (NCCAOM), and is a licensed acupuncturist in Washington State.
In the 1970’s, Lanli studied acupuncture and Chinese herbs with the distinguished Chinese Medicine Master, Jimin Shi. In 1998, she earned her Master’s Degree in Acupuncture from the Northwest Institute of Acupuncture and Oriental Medicine (NIAOM) in Seattle. LanLi is committed to providing quality and personalized acupuncture service, and she encourages her patients to take an active role in their health care.
Although general medicine is the mainstay of her practice, LanLi’s expertise lies in treating common diseases for which other forms of medicine may not be effective. This includes irregular menstruation, menopause syndrome, infertility, sexual dysfunction, chronic fatigue, fibromyalgia, depression, and irritable bowel syndrome. LanLi also specializes in treating chronic pain conditions in the back, neck, shoulders, as well as ankles, elbows, and wrists.

Jia Ling (Janet) Liu, Lic. Acupuncturist
L. Ac EAMP (WA),   MD (China)
Jia Ling was born and grew up in Sichuan, China, in an acupuncture and Traditional Chinese Medicine family. The influence from her elders in the family lead her to major in TCM.  Jia Ling has years of experience in both clinical practice and teaching in both North America and China. She has experienced great delight over the years practicing TCM, as well as enjoying its efficacy. She is excited to serve the local community.
Focus Areas：
All kinds of pain, infertility, allergies, myopia, hyperopia, insomnia, etc.
Education:
1990-1995: Chengdu University of Traditional Chinese Medicine- Bachelor degree Major in TCM
2000-2001: Chengdu University of Traditional Chinese Medicine – Acupuncture Master Program
Admissions:
1995 – Licensed in Sichuan as an Acupuncturist and TCM Practitioner
2002 – Licensed in Ontario as an Acupuncturist and TCM Practitioner
2019 – Licensed in Washington as an Acupuncturist and Eastern Medicine Practitioner
Interest:
Reading, Cooking, Volunteering
Volunteer Experience:
Served in school PTSAs for over 10 years, and currently a board member of the Bellevue High School PTSA",https://acupuncturema.com/about-us/
Insurance Accepted,"Insurance Accepted

We are proud to provide services to military veterans, as the VA’s Community Care Network (CCN) credentialed healthcare provider.

We can help veterans who suffer from:

Pain associated with an injury or illness
Nausea and vomiting after an operation
Nausea and vomiting related to chemotherapy
Knee pain from osteoarthritis
Low back pain
Depression or other mental health concerns
Substance dependency
We are IN NETWORK for Acupuncture with the following providers…and more.
 
Auto Accidents Accepted.
Premera Blue Cross
Regence
BlueCross BlueShield of Illinois
UnitedHealthcare
Kaiser Permanente
First Choice Health
Aetna
Humana
Workers' Compensation
LifeWise
Meritain Health
",https://acupuncturema.com/insurance-accepted/
AiKang series,"AiKang series
AiKang series (building the immune system to fight cancer)

have been developed by Dr. Shou-chun Ma over decades.
have effective results for patients with cancer.
made in the U.S., packed by the certified factory.
Herbs are 100% natural.
AiKang series (build the immune system to fight cancer), have very effective results for patients with cancer.  More important, it is a preventative herbal supplement.  It is developed to prevent cancer in general.  People can take it daily to prevent cancer effectively.",https://acupuncturema.com/aikang-series/
What Is Acupuncture?,"What Is Acupuncture?


Acupuncture is an effective form of medical treatment that has evolved into a complete holistic health care system. Practitioners of acupuncture and Chinese medicine have used this noninvasive treatment method to help millions of people become well and stay well.

Acupuncture promotes natural healing. It can enhance recuperative power and immunity, support physical and emotional health, and improve overall function and well-being. It is a safe, painless and effective way to treat a wide variety of medical problems.

What is Qi?
At the core of this ancient medicine is the philosophy that Qi (pronounced “chee”), or vital energy, flows throughout the body. Qi animates the body and protects it from illness, pain and disease. A person’s health is influenced by the quality, quantity and balance of Qi.

马寿椿教授论浅刺轻灸 中医药导报 2017-10-20
How does Qi move?
Diagram of the direction of Qi flow throughout the body
Qi flows through specific pathways called meridians. There are fourteen main meridians inside the body. The diagram to the left shows the meridian pathways in the body. Each of these is connected to specific organs and glands.

Meridian pathways are like rivers flowing inside the body. Where a river flows, it transports life-giving water that provides nourishment to the land, plants and people. Similarly, where meridian pathways flow, they bring life-giving Qi that provides nourishment to every cell, organ, gland, tissue and muscle in the body.

How is Qi disrupted?
Diagram of the blockage of the flow of Qi in the body
An obstruction to the flow of Qi is like a dam. When Qi becomes backed up in one part of the body, the flow becomes restricted in other parts. This blockage of the flow of Qi can be detrimental to a person’s health, cutting off vital nourishment to the body, organs and glands.

Physical and emotional trauma, stress, lack of exercise, overexertion, seasonal changes, poor diet, accidents, or excessive activity are among the many things that can influence the quality, quantity and balance of Qi.

Normally, when a blockage or imbalance occurs, the body easily bounces back, returning to a state of health and well-being. However, when this disruption is prolonged or excessive, or if the body is in a weakened state, illness, pain, or disease can set in.

Blockage of the flow of Qi can be detrimental to a person’s health and leads to various signs and symptoms or health concerns.
What does an acupuncturist do?
During the initial exam a full health history is taken. Questions are asked regarding health, symptoms and lifestyle. An appropriate physical exam is conducted, including pulse and tongue diagnosis.

Gathering this information enables the practitioner to effectively diagnose and detect any specific imbalances of Qi that may have contributed to a person’s health problems. The practitioner can then create a well-structured treatment plan.

Once the imbalances of Qi are detected, an acupuncturist will place fine, sterile needles at specific acupoints along meridian pathways. This safe and painless insertion of the needles can unblock the obstruction and balance Qi where it has become unbalanced. Once this is done, Qi can freely circulate throughout the body, providing adequate nourishment to cells, organs, glands, tissues and muscles. This can eliminate pain and restore balance and harmony, as well as the body’s ability to heal itself—ultimately leading to optimal health and well-being.

Acupuncture and Chinese medicine are safe, effective and drug-free therapies that can help address a wide variety of common ailments and problems.",https://acupuncturema.com/what-is-acupuncture/
Allergies,"Allergies

According to Chinese medical theory, the symptoms and signs that indicate a Western diagnosis of allergies relate to imbalances in the meridian and Organ Systems of the body. These imbalances may stem from a variety of causes, including stress, poor diet, constitutional weakness, pollutants and environmental toxins.

Over time, if imbalances remain within the body, they will affect the functions of the Organ Systems. Some of these Organ Systems are involved in the production of Wei Qi (pronounced “way chee”). According to the theories of acupuncture and Chinese medicine, it is important to have
the correct quality and quantity of Wei Qi circulating around the body in order to stay healthy.

What is Wei Qi?
The Chinese concept of Wei Qi is similar to the Western concept of the immune system. Wei Qi functions to protect and defend the body against foreign substances, that if not caught can lead to allergies. When Wei Qi is strong and abundant, we remain healthy. When the supply of Wei Qi becomes deficient, health is compromised and we become vulnerable to foreign invaders such as dust, mold, animal dander, bacteria, viruses and pollen. People who have a Wei Qi deficiency are prone to allergies and frequent colds.

Acupuncture and Chinese medicine support and strengthen the systems of the body that are involved in the production of Wei Qi. By building up the supply of Wei Qi, and facilitating the smooth and free flow of it through the body, symptoms and signs related to allergies could be greatly reduced or eliminated.

Allergies according to Traditional Chinese Medicine (TCM) can be due to a variety of factors. Below are some of the more common TCM diagnoses that your acupuncturist
may discover and treat.

Wei Qi deficiency
Spleen weakness
Kidney deficiency
Lung deficiency
What will an acupuncturist do?
An acupuncturist will conduct a thorough exam, taking a complete health history. They will then develop a unique treatment plan that will address your specific concerns. The goals of the treatment plan will be to eliminate visible symptoms and signs, while addressing the root cause(s) and underlying imbalances affecting the quality and quantity of Wei Qi.

Acupuncture treatments may be combined with herbs, dietary changes, massage (tuina), or exercise. These therapies accelerate the healing process in order to balance, build, and support the body’s Wei Qi.

Seasonal allergy tips:

Flush your nose with a Neti pot.
Add spicy foods and omega-3’s to your diet.
Keep your windows closed during allergy season to prevent dust and pollen from entering.
Put on a dust mask when you are doing yard or house work.
Do not hang your clothes out to dry in the sun, as they
will gather dust, mold and pollen.
Come in for an acupuncture tune-up.
Acupuncture and Chinese medicine are a drug-free, safe, natural and effective way to eliminate hay fever, allergies or the common cold.",https://acupuncturema.com/what-we-treat/allergies
Anxiety,"Anxiety

According to the Anxiety Disorders Association of America, anxiety disorders are the most common mental health disorder in the U.S., affecting 40 million adults and costing more than $42 billion a year.

Feelings of anxiety, worry and fear related to significant and challenging events are justified and very common. Anxiety becomes a problem when emotional reactions are out of proportion with what might be “normally” expected in a situation, and when symptoms interfere with a person’s daily functioning or sleep patterns. Mild anxiety leaves a person feeling a bit unsettled, while severe anxiety can be extremely debilitating.

Anxiety is used as a general term for several disorders that have common symptoms – such as nervousness, worrying, apprehension and fear. Anxiety disorders can be classified into several more specific types. The most common are briefly described below.

Generalized Anxiety Disorder (GAD) is characterized by unrealistic, persistent and excessive worry about everyday things. People with this disorder often expect the worst and experience exaggerated worry and tension, even when there is no apparent reason for concern.

Panic Disorder is characterized by brief or sudden attacks of intense terror and apprehension that leads to shaking, confusion, nausea, dizziness and difficulty breathing. Panic attacks tend to arise abruptly and seemingly out-of-the-blue, causing the individual to become preoccupied with the fear of a recurring attack.

Phobia is an irrational fear and avoidance of an object or situation. Phobias commonly focus on flying, bridges, insects, heights, dental or medical procedures and elevators. Having phobias can disrupt daily routines, reduce self-esteem, limit work efficiency and put a strain on relationships.

Social Anxiety Disorder is characterized by a fear of being negatively judged and scrutinized by others in social or performance-related situations. Different variations of this type of anxiety include a fear of intimacy, stage fright and a fear of humiliation. People suffering from this disorder can sometimes isolate themselves in an attempt to avoid public situations and human contact.

Obsessive-Compulsive Disorder (OCD) is an anxiety disorder characterized by unwanted or intrusive thoughts, which often make the sufferer feel compelled to repeat certain behaviors or routines. Even when the OCD sufferers know the irrationality of their compulsions, they feel powerless to stop them. They may obsessively wash their hands, clean personal items or constantly check light switches, locks or stoves.

Post-traumatic Stress Disorder (PTSD) is anxiety that results from previous trauma such as military combat, rape, a natural disaster, a serious accident or other life-threatening events. Most people who experience such events recover from them, but people with PTSD continue to be anxious and severely depressed for months or even years following the event. They often experience flashbacks and behavioral changes in order to avoid certain stimuli.

Acupuncture Can Help. A clinical study conducted in China in 2010, has concluded that acupuncture is a “safe and effective” treatment for mood disorders including depression and severe anxiety, in some cases proving to increase the effectiveness of medication-based treatments. Additionally a 2009 study, again in China, determined that acupuncture alone could help patients who suffer from anxiety but cannot be chemically treated due to intolerable side-effects of medications.

In many Western schools of thought, anxiety disorders are considered to be dysfunctions in a person’s brain chemistry. An acupuncturist does not view anxiety as a brain dysfunction, but rather as an imbalance in a person’s organ system. In Traditional Chinese Medicine, this imbalance is called Shan You Si (“anxiety & preoccupation”), and is believed to affect the main organs: the Heart, Lung, Spleen, Liver, and Kidneys. Each organ is related to different aspects of a person’s emotions.

For instance, worry is said to affect the Spleen, grief affects the Lungs, anger the Liver, fear the Kidneys, and lack of joy the Heart. If a person experiences one or more of these emotions over a long period of time due to lifestyle, dietary, hereditary and environmental factors, it can cause an imbalanced emotional state and lead to various anxiety disorders.

The role of an acupuncturist is to investigate the underlying causes of the anxiety by carrying out a thorough diagnostic evaluation in order to determine which organ system has been affected and is out of balance. The acupuncturist will then seek to restore the imbalance by inserting fine, sterile needles into the points correlating to those organs. Additionally, acupuncture helps to reduce stress, ultimately encouraging and supporting a greater sense of well-being and balance.

Resources:

http://www.adaa.org/about-adaa/press-room/facts-statistics

http://www.acupuncture.com/newsletters/m_july10/anxiety.htm

Zhang (2010). “The effectiveness and safety of acupuncture therapy in depressive disorders: Systematic review and meta-analysis”. Journal of Affective Disorders, 124, 1-2, July 2010.

Wen (2009). “Combination of acupuncture and Fluoxentine for depression: A randomized, double-blind, sham-controlled trial”. The Journal of Alternative and Complementary Medicine, 15, 8, August 13, 2009.",https://acupuncturema.com/what-we-treat/anxiety
Arthritis,"Arthritis
If you live with arthritis, you know what a challenge it can be to find relief from joint pain and other symptoms. But there are many things you can do to manage and control your arthritis and live a healthy, active life. Acupuncture and Traditional Chinese Medicine (TCM) can be powerful additions to any treatment plan, without causing harmful side effects.

Arthritis according to Western Medicine
Osteoarthritis (OA) is the most common type of arthritis, affecting more than 21 million Americans. It occurs when the cartilage between the joints breaks down, usually affecting the hips, hands, knees, low back, or neck.

Some factors can increase your risk, including a joint injury, being overweight, aging, and genetics. Putting stress on a joint through repetitive motion can also increase your risk.

Rheumatoid arthritis (RA) is another common type, affecting 2.1 million people in the United States. This chronic condition occurs when the lining of the joints becomes inflamed, and can lead to long-term joint damage and even loss of movement. Women are two to three times more likely to get RA.

RA often starts in the hands or feet, and usually affects the same joints on both sides of the body. Symptoms include:

Warm, swollen or tender joints
Joint stiffness, especially in the morning
Fatigue
Flu-like symptoms such as fever
Muscle pain and weakness
Treatment options
Western treatment generally focuses on relieving pain and preventing further joint damage. Often this is done through the use of anti-inflammatory drugs and other medications, as well as through self-care and physical therapy. In some cases, surgery may even be needed.

Causes of arthritis from a TCM perspective
Weakness or deficiency of the internal organs
Constitutional imbalance
Physical injury and/or trauma
Changes with the quality and quantity of Qi
Blockage or inadequate flow of Qi
Invasion from external factors such as Wind, Cold and Heat
Unresolved emotional upset, mainly related to stress and anxiety
Acupuncture offers a safe, natural way to control joint pain and other symptoms and maintain overall health. In fact, a 2004 study showed that patients with OA of the knee experienced a 40 percent decrease in pain and a 40 percent increase in function after receiving a series of acupuncture treatments.

A whole-body approach to relief
Acupuncture and Traditional Chinese Medicine (TCM) take a holistic, or whole-body approach to health. According to these theories, Qi (pronounced “chee”) is the vital energy that animates the body and protects it from illness. It flows through pathways called meridians, providing nourishment for every cell, tissue, muscle and organ. When there is an imbalance or blockage in the flow of Qi, physical symptoms may result.

During treatment, fine, sterile needles will be inserted at specific acupoints along the meridians in order to unblock any obstruction and allow Qi to flow freely.

Your practitioner may also recommend herbal remedies, massage, and stretching. Be sure to discuss any new medications with your doctor to avoid any potential interactions.

What you can do
It’s important to remember that there is no “quick fix” for arthritis, and it may take time to achieve results. However, there are lifestyle changes you can make that may help you find relief faster.

Exercise can help increase your flexibility, strengthen muscles and bones, and maintain a healthy weight.
Diet is another important issue. Stick to a healthy diet made up of a wide variety of unprocessed, organic foods. Your acupuncturist may also suggest adding natural anti-inflammatories to your diet.
Stress relief can also help. By learning to identify your stressors and lowering your stress through techniques such as breathing exercises, meditation, yoga, Tai Chi or Qi Gong, you can improve your state of mind and your health.
Maintaining balance in your life is also key. A balance of rest and relaxation with activity and exercise will keep you feeling your best.
By working closely with your acupuncturist and other treatment providers, you will be taking charge of your arthritis and taking a step toward a healthier life.",https://acupuncturema.com/what-is-acupuncture/what-we-treat/arthritis
Asthma,"Asthma
Asthma is a long-term condition that affects more than 20 million Americans. Caring for a chronic condition such as asthma can sometimes be frustrating, but it’s important to remember that it can be controlled. Acupuncture and Traditional Chinese Medicine (TCM) can be powerful allies in the management of asthma, and they work well in conjunction with other types of treatment.

The facts about asthma
Asthma is an inflammatory disease in which the airways become blocked or narrowed, causing symptoms such as coughing, wheezing, shortness of breath, and chest tightness. Some people have long periods without symptoms, while others may always experience difficulty breathing. Asthma attacks occur when something triggers the inflammation of the respiratory system. Flare ups can be severe—sometimes even life-threatening.

A partnership for a healthier life
It is important to remember that you are a key part of controlling your asthma. Here are a few ways you can take an active part in your treatment:

Try keeping an asthma diary to track your specific asthma triggers.
Be sure to keep all of your health care providers fully informed. This includes talking to them about any medications or herbs you may be taking, as well as any changes in your symptoms.
Follow your practitioner’s recommendations for self-care. These might include exercises such as Qi Gong, yoga, dietary changes, or stress-relief measures such as meditation.
By making positive lifestyle choices and working closely with your practitioner, you’ll truly be taking charge of your asthma and your life.

Asthma attacks are generally caused by one or more triggers, including:

A cold, flu, bronchitis, or sinus infection
Allergens including dust mites, tree and grass pollen, mold, and animal dander
Irritants that include tobacco smoke, strong fragrances, and air pollution
Certain foods and food additives
Aspirin and anti-inflammatory drugs
Strenuous exercise
Changes in weather
Strong emotions such as anxiety, stress, grief and anger
Generally, the available approach of asthma treatment is to try and prevent attacks. This is usually done with regular use of anti-inflammatory medications, inhaled steroids and leukotriene inhibitors. Once an asthma attack is underway, quick-acting medications like corticosteroids may be able to relieve it.

Most of these medications can cause side effects such as nausea, headaches, muscle tremors, and insomnia. However, many people have found that acupuncture treatment may help reduce asthma attacks, improve lung function, and even lower the amount of medication needed.

Asthma according to ancient principles
In TCM, asthma is known as “Xiao Chuan”, which means “wheezing” and “shortness of breath”. It is caused by a variety of factors that involve an imbalance with Wei Qi (pronounced “way chee”), and an imbalance with one or more of the organ systems, generally the Lungs, Spleen or Kidney.

Asthma according to Traditional Chinese Medicine (TCM) goes beyond a simple diagnosis of “asthma”.

Below are some of the more common TCM diagnoses that your acupuncturist may discover and treat.

Invasion of Wind
Lung weakness
Kidney weakness
Spleen weakness
Liver imbalance
Liver Heat
Wei Qi deficiency
Phlegm/damp in the Lungs
An acupuncturist will take a holistic, or whole-body approach in order to determine what areas of the body are affected and out-of-balance and contributing to the attacks.

Since acupuncture and TCM take into account your overall well-being, your practitioner may also address other issues that may be contributing to your asthma, such as exercise, diet and stress. Acupuncture is a safe, effective, and pain-free approach to many conditions, and you may find that your overall health improves along with your asthma symptoms.",https://acupuncturema.com/what-we-treat/asthma/
